Order_ID,Date,Product_Name,Category,Price,Cost_Price,Quantity,Customer_ID,Payment_Mode,Discount,Revenue,Profit
1,2025-04-18,Cap,Accessories,302,192.44,1,1171,Card,5,302,109.56
2,2025-11-10,Cap,Accessories,730,501.75,3,1106,Cash,15,2190,684.75
3,2026-01-27,Shirt,Topwear,826,572.04,4,1061,Cash,0,3304,1015.84
4,2026-02-20,Lower,Bottomwear,599,336.67,2,1015,Cash,5,1198,524.66
5,2025-04-20,Lower,Bottomwear,466,305.18,3,1009,Card,20,1398,482.46
6,2025-06-21,Belt,Accessories,846,449.92,2,1015,Card,5,1692,792.16
7,2025-09-18,Undergarments,Innerwear,836,425.85,3,1030,UPI,10,2508,1230.45
8,2026-02-28,Lower,Bottomwear,1016,583.37,4,1126,Cash,10,4064,1730.52
9,2026-01-02,Wallet,Accessories,547,375.23,1,1111,UPI,15,547,171.77
10,2025-10-28,T-shirt,Topwear,699,522.59,2,1080,UPI,10,1398,352.82
11,2025-12-22,T-shirt,Topwear,1159,815.82,2,1023,UPI,10,2318,686.36
12,2026-03-10,Kurta,Ethnic,1476,1040.12,1,1076,UPI,10,1476,435.88
13,2025-04-30,Belt,Accessories,272,150.36,2,1155,Card,0,544,243.28
14,2025-06-19,Cap,Accessories,721,395.96,1,1069,Cash,20,721,325.04
15,2026-03-02,Belt,Accessories,927,620.99,1,1030,Card,15,927,306.01
16,2025-11-02,Cap,Accessories,570,314.59,3,1086,Cash,0,1710,766.23
17,2025-05-11,Cap,Accessories,376,212.01,4,1076,UPI,20,1504,655.96
18,2025-12-14,Lower,Bottomwear,579,342.07,2,1138,Cash,5,1158,473.86
19,2025-09-11,Cap,Accessories,676,443.74,3,1198,UPI,5,2028,696.78
20,2026-02-14,Cap,Accessories,794,582.61,2,1120,Card,10,1588,422.78
21,2026-01-02,Undergarments,Innerwear,425,253.66,2,1178,UPI,15,850,342.68
22,2025-12-30,T-shirt,Topwear,801,433.39,3,1102,UPI,5,2403,1102.83
23,2026-01-04,Lower,Bottomwear,1065,603.62,4,1105,Cash,5,4260,1845.52
24,2025-06-13,Lower,Bottomwear,854,431.47,1,1075,Cash,20,854,422.53
25,2025-09-23,Belt,Accessories,590,325.28,1,1007,Card,20,590,264.72
26,2025-12-02,Undergarments,Innerwear,548,292.0,4,1178,UPI,0,2192,1024.0
27,2025-12-16,Undergarments,Innerwear,763,467.71,2,1159,Card,20,1526,590.58
28,2025-12-12,Cap,Accessories,600,327.41,3,1063,UPI,10,1800,817.77
29,2026-03-01,Belt,Accessories,877,644.3,4,1173,Cash,15,3508,930.8
30,2025-12-12,Shirt,Topwear,1683,914.08,3,1110,Card,0,5049,2306.76
31,2025-11-29,Cap,Accessories,372,208.38,1,1189,UPI,10,372,163.62
32,2025-10-10,Cap,Accessories,612,420.41,4,1145,Card,10,2448,766.36
33,2025-07-07,Lower,Bottomwear,632,392.75,4,1068,UPI,10,2528,957.0
